sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.14 | Public IP: 49.204.178.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:21 IST Sun Jun 7 2020 | Duration: 3h:24m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 83853649 | Bytes Rx: 130297727 | IP Addr: 10.150.238.14 | Public IP: 49.204.178.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:21 IST Sun Jun 7 2020 | Duration: 3h:24m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 83853649 | Bytes Rx: 130297727 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265322 | Audit Session ID: 0a96cf6a40c6a0005edc6079 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265322 | Audit Session ID: 0a96cf6a40c6a0005edc6079 | Security Group Tag: none | EasyVPN: 0 ||
Username: ShuBade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC80 | IP Addr: 10.150.247.48 | Public IP: 49.35.57.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:28 IST Sun Jun 7 2020 | Duration: 3h:24m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 381036719 | Bytes Rx: 75110512 | IP Addr: 10.150.247.48 | Public IP: 49.35.57.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:28 IST Sun Jun 7 2020 | Duration: 3h:24m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 381036719 | Bytes Rx: 75110512 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265323 | Audit Session ID: 0a96cf6a40c6b0005edc6080 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265323 | Audit Session ID: 0a96cf6a40c6b0005edc6080 | Security Group Tag: none | EasyVPN: 0 ||
Username: SaumSonk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.18 | Public IP: 103.86.180.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:52 IST Sun Jun 7 2020 | Duration: 3h:24m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 123928667 | Bytes Rx: 59749929 | IP Addr: 10.150.238.18 | Public IP: 103.86.180.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:52 IST Sun Jun 7 2020 | Duration: 3h:24m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 123928667 | Bytes Rx: 59749929 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265325 | Audit Session ID: 0a96cf6a40c6d0005edc6098 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265325 | Audit Session ID: 0a96cf6a40c6d0005edc6098 | Security Group Tag: none | EasyVPN: 0 ||
Username: JinsonA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.21 | Public IP: 45.250.226.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:38 IST Sun Jun 7 2020 | Duration: 3h:22m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 125344859 | Bytes Rx: 30649425 | IP Addr: 10.150.238.21 | Public IP: 45.250.226.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:38 IST Sun Jun 7 2020 | Duration: 3h:22m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 125344859 | Bytes Rx: 30649425 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265331 | Audit Session ID: 0a96cf6a40c730005edc6102 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265331 | Audit Session ID: 0a96cf6a40c730005edc6102 | Security Group Tag: none | EasyVPN: 0 ||
Username: priyanup | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.22 | Public IP: 106.207.33.229 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:43 IST Sun Jun 7 2020 | Duration: 3h:22m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 418922833 | Bytes Rx: 238111291 | IP Addr: 10.150.238.22 | Public IP: 106.207.33.229 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:43 IST Sun Jun 7 2020 | Duration: 3h:22m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 418922833 | Bytes Rx: 238111291 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265332 | Audit Session ID: 0a96cf6a40c740005edc6107 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265332 | Audit Session ID: 0a96cf6a40c740005edc6107 | Security Group Tag: none | EasyVPN: 0 ||
Username: varnaik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.24 | Public IP: 103.121.153.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:17 IST Sun Jun 7 2020 | Duration: 3h:21m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 111289205 | Bytes Rx: 55398087 | IP Addr: 10.150.238.24 | Public IP: 103.121.153.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:17 IST Sun Jun 7 2020 | Duration: 3h:21m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 111289205 | Bytes Rx: 55398087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265334 | Audit Session ID: 0a96cf6a40c760005edc6129 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265334 | Audit Session ID: 0a96cf6a40c760005edc6129 | Security Group Tag: none | EasyVPN: 0 ||
Username: PavNikas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC78 | IP Addr: 10.150.247.46 | Public IP: 157.33.181.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:10:01 IST Sun Jun 7 2020 | Duration: 3h:20m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 128894162 | Bytes Rx: 65943078 | IP Addr: 10.150.247.46 | Public IP: 157.33.181.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:10:01 IST Sun Jun 7 2020 | Duration: 3h:20m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 128894162 | Bytes Rx: 65943078 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265338 | Audit Session ID: 0a96cf6a40c7a0005edc6191 | Security Group Tag: none | EasyVPN: 0 |Session ID: 265338 | Audit Session ID: 0a96cf6a40c7a0005edc6191 | Security Group Tag: none | EasyVPN: 0 ||
Username: PriyaGaw | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.25 | Public IP: 49.32.18.237 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:22 IST Sun Jun 7 2020 | Duration: 3h:17m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 129347647 | Bytes Rx: 73890704 | IP Addr: 10.150.238.25 | Public IP: 49.32.18.237 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:22 IST Sun Jun 7 2020 | Duration: 3h:17m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 129347647 | Bytes Rx: 73890704 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265343 | Audit Session ID: 0a96cf6a40c7f0005edc621e | Security Group Tag: none | EasyVPN: 0 |Session ID: 265343 | Audit Session ID: 0a96cf6a40c7f0005edc621e | Security Group Tag: none | EasyVPN: 0 ||
Username: amnangar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.31 | Public IP: 49.35.30.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:38 IST Sun Jun 7 2020 | Duration: 3h:17m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 139497819 | Bytes Rx: 53921614 | IP Addr: 10.150.238.31 | Public IP: 49.35.30.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:38 IST Sun Jun 7 2020 | Duration: 3h:17m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 139497819 | Bytes Rx: 53921614 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265344 | Audit Session ID: 0a96cf6a40c800005edc622e | Security Group Tag: none | EasyVPN: 0 |Session ID: 265344 | Audit Session ID: 0a96cf6a40c800005edc622e | Security Group Tag: none | EasyVPN: 0 ||
Username: keschakk | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.32 | Public IP: 103.98.63.13 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:13:59 IST Sun Jun 7 2020 | Duration: 3h:16m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 601293623 | Bytes Rx: 152164210 | IP Addr: 10.150.238.32 | Public IP: 103.98.63.13 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:13:59 IST Sun Jun 7 2020 | Duration: 3h:16m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 601293623 | Bytes Rx: 152164210 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265345 | Audit Session ID: 0a96cf6a40c810005edc627f | Security Group Tag: none | EasyVPN: 0 |Session ID: 265345 | Audit Session ID: 0a96cf6a40c810005edc627f | Security Group Tag: none | EasyVPN: 0 ||
Username: ODas | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.33 | Public IP: 106.193.192.77 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:14:45 IST Sun Jun 7 2020 | Duration: 3h:15m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 935831291 | Bytes Rx: 82724272 | IP Addr: 10.150.238.33 | Public IP: 106.193.192.77 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:14:45 IST Sun Jun 7 2020 | Duration: 3h:15m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 935831291 | Bytes Rx: 82724272 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 265347 | Audit Session ID: 0a96cf6a40c830005edc62ad | Security Group Tag: none | EasyVPN: 0 |Session ID: 265347 | Audit Session ID: 0a96cf6a40c830005edc62ad | Security Group Tag: none | EasyVPN: 0 ||
