sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 7d 1h:10m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 3086389796 | Bytes Rx: 1303021541 | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 7d 1h:10m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 3086389796 | Bytes Rx: 1303021541 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 ||
Username: kvkrishn | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.191 | Public IP: 110.224.34.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 1d 2h:07m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 670357724 | Bytes Rx: 256245149 | IP Addr: 10.149.234.191 | Public IP: 110.224.34.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 1d 2h:07m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 670357724 | Bytes Rx: 256245149 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 1d 1h:59m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1713219727 | Bytes Rx: 826056656 | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 1d 1h:59m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1713219727 | Bytes Rx: 826056656 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 |Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 ||
Username: Navselva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.214 | Public IP: 115.97.239.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:38:14 IST Mon Jun 15 2020 | Duration: 1d 1h:22m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1785673947 | Bytes Rx: 546998499 | IP Addr: 10.149.235.214 | Public IP: 115.97.239.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:38:14 IST Mon Jun 15 2020 | Duration: 1d 1h:22m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1785673947 | Bytes Rx: 546998499 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169649 | Audit Session ID: 0a95072b296b10005ee7023e | Security Group Tag: none | EasyVPN: 0 |Session ID: 169649 | Audit Session ID: 0a95072b296b10005ee7023e | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.66 | Public IP: 103.228.147.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:12:06 IST Mon Jun 15 2020 | Duration: 23h:48m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 984597749 | Bytes Rx: 96803520 | IP Addr: 10.149.234.66 | Public IP: 103.228.147.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:12:06 IST Mon Jun 15 2020 | Duration: 23h:48m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 984597749 | Bytes Rx: 96803520 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170008 | Audit Session ID: 0a95072b298180005ee7183e | Security Group Tag: none | EasyVPN: 0 |Session ID: 170008 | Audit Session ID: 0a95072b298180005ee7183e | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.165 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:16:54 IST Mon Jun 15 2020 | Duration: 21h:43m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 154091479 | Bytes Rx: 93273152 | IP Addr: 10.149.235.165 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:16:54 IST Mon Jun 15 2020 | Duration: 21h:43m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 154091479 | Bytes Rx: 93273152 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170619 | Audit Session ID: 0a95072b29a7b0005ee7357e | Security Group Tag: none | EasyVPN: 0 |Session ID: 170619 | Audit Session ID: 0a95072b29a7b0005ee7357e | Security Group Tag: none | EasyVPN: 0 ||
Username: pgopiset | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.71 | Public IP: 49.37.141.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:54:21 IST Mon Jun 15 2020 | Duration: 17h:06m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 712141286 | Bytes Rx: 689421451 | IP Addr: 10.149.235.71 | Public IP: 49.37.141.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:54:21 IST Mon Jun 15 2020 | Duration: 17h:06m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 712141286 | Bytes Rx: 689421451 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171203 | Audit Session ID: 0a95072b29cc30005ee77685 | Security Group Tag: none | EasyVPN: 0 |Session ID: 171203 | Audit Session ID: 0a95072b29cc30005ee77685 | Security Group Tag: none | EasyVPN: 0 ||
Username: vignerm | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.112 | Public IP: 49.207.128.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:57:37 IST Mon Jun 15 2020 | Duration: 16h:02m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 144284402 | Bytes Rx: 30006546 | IP Addr: 10.149.235.112 | Public IP: 49.207.128.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:57:37 IST Mon Jun 15 2020 | Duration: 16h:02m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 144284402 | Bytes Rx: 30006546 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171299 | Audit Session ID: 0a95072b29d230005ee78559 | Security Group Tag: none | EasyVPN: 0 |Session ID: 171299 | Audit Session ID: 0a95072b29d230005ee78559 | Security Group Tag: none | EasyVPN: 0 ||
Username: rosratho | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.8 | Public IP: 49.205.78.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:55:30 IST Tue Jun 16 2020 | Duration: 6h:04m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 362201951 | Bytes Rx: 121581320 | IP Addr: 10.149.235.8 | Public IP: 49.205.78.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:55:30 IST Tue Jun 16 2020 | Duration: 6h:04m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 362201951 | Bytes Rx: 121581320 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171569 | Audit Session ID: 0a95072b29e310005ee8117a | Security Group Tag: none | EasyVPN: 0 |Session ID: 171569 | Audit Session ID: 0a95072b29e310005ee8117a | Security Group Tag: none | EasyVPN: 0 ||
Username: jesurjos | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.9 | Public IP: 157.50.204.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:55:49 IST Tue Jun 16 2020 | Duration: 6h:04m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 105969562 | Bytes Rx: 93482506 | IP Addr: 10.149.235.9 | Public IP: 157.50.204.148 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:55:49 IST Tue Jun 16 2020 | Duration: 6h:04m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 105969562 | Bytes Rx: 93482506 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171570 | Audit Session ID: 0a95072b29e320005ee8118d | Security Group Tag: none | EasyVPN: 0 |Session ID: 171570 | Audit Session ID: 0a95072b29e320005ee8118d | Security Group Tag: none | EasyVPN: 0 ||
Username: dgowda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.108 | Public IP: 223.186.76.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:25:18 IST Tue Jun 16 2020 | Duration: 5h:35m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 412866283 | Bytes Rx: 59986487 | IP Addr: 10.149.234.108 | Public IP: 223.186.76.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:25:18 IST Tue Jun 16 2020 | Duration: 5h:35m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 412866283 | Bytes Rx: 59986487 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171580 | Audit Session ID: 0a95072b29e3c0005ee81876 | Security Group Tag: none | EasyVPN: 0 |Session ID: 171580 | Audit Session ID: 0a95072b29e3c0005ee81876 | Security Group Tag: none | EasyVPN: 0 ||
