sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 6d 18h:57m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 2292945343 | Bytes Rx: 4648193475 | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 6d 18h:57m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 2292945343 | Bytes Rx: 4648193475 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 4d 2h:07m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1940566276 | Bytes Rx: 526792477 | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 4d 2h:07m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1940566276 | Bytes Rx: 526792477 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajib.debnath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.59 | Public IP: 103.100.37.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:20:25 IST Thu Jun 11 2020 | Duration: 3d 19h:39m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 2070808615 | Bytes Rx: 1241209923 | IP Addr: 10.150.239.59 | Public IP: 103.100.37.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:20:25 IST Thu Jun 11 2020 | Duration: 3d 19h:39m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 2070808615 | Bytes Rx: 1241209923 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14924 | Audit Session ID: 0a96cf6a03a4c0005ee1f051 | Security Group Tag: none | EasyVPN: 0 |Session ID: 14924 | Audit Session ID: 0a96cf6a03a4c0005ee1f051 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.142 | Public IP: 103.85.10.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:07:50 IST Fri Jun 12 2020 | Duration: 2d 18h:52m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 863237586 | Bytes Rx: 263201736 | IP Addr: 10.150.238.142 | Public IP: 103.85.10.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:07:50 IST Fri Jun 12 2020 | Duration: 2d 18h:52m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 863237586 | Bytes Rx: 263201736 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 18328 | Audit Session ID: 0a96cf6a047980005ee34cee | Security Group Tag: none | EasyVPN: 0 |Session ID: 18328 | Audit Session ID: 0a96cf6a047980005ee34cee | Security Group Tag: none | EasyVPN: 0 ||
Username: jlam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.4 | Public IP: 219.78.20.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:48 IST Sat Jun 13 2020 | Duration: 1d 23h:01m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 898785524 | Bytes Rx: 235770271 | IP Addr: 10.150.239.4 | Public IP: 219.78.20.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:48 IST Sat Jun 13 2020 | Duration: 1d 23h:01m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 898785524 | Bytes Rx: 235770271 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20012 | Audit Session ID: 0a96cf6a04e2c0005ee46410 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20012 | Audit Session ID: 0a96cf6a04e2c0005ee46410 | Security Group Tag: none | EasyVPN: 0 ||
Username: sduvva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.150 | Public IP: 103.20.125.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:09 IST Sat Jun 13 2020 | Duration: 1d 21h:22m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 5786855 | Bytes Rx: 3181075 | IP Addr: 10.150.239.150 | Public IP: 103.20.125.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:09 IST Sat Jun 13 2020 | Duration: 1d 21h:22m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 5786855 | Bytes Rx: 3181075 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20258 | Audit Session ID: 0a96cf6a04f220005ee47b59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20258 | Audit Session ID: 0a96cf6a04f220005ee47b59 | Security Group Tag: none | EasyVPN: 0 ||
Username: nghumatk | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.179 | Public IP: 103.249.241.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:00:18 IST Sun Jun 14 2020 | Duration: 12h:00m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 605652989 | Bytes Rx: 260850662 | IP Addr: 10.150.238.179 | Public IP: 103.249.241.158 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:00:18 IST Sun Jun 14 2020 | Duration: 12h:00m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 605652989 | Bytes Rx: 260850662 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22683 | Audit Session ID: 0a96cf6a0589b0005ee6509a | Security Group Tag: none | EasyVPN: 0 |Session ID: 22683 | Audit Session ID: 0a96cf6a0589b0005ee6509a | Security Group Tag: none | EasyVPN: 0 ||
Username: subhassh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.47 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:41:56 IST Sun Jun 14 2020 | Duration: 11h:18m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 67478310 | Bytes Rx: 23998353 | IP Addr: 10.150.239.47 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:41:56 IST Sun Jun 14 2020 | Duration: 11h:18m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 67478310 | Bytes Rx: 23998353 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22734 | Audit Session ID: 0a96cf6a058ce0005ee65a5c | Security Group Tag: none | EasyVPN: 0 |Session ID: 22734 | Audit Session ID: 0a96cf6a058ce0005ee65a5c | Security Group Tag: none | EasyVPN: 0 ||
Username: SamruSal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.210 | Public IP: 103.110.253.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:07:51 IST Mon Jun 15 2020 | Duration: 9h:52m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 238599943 | Bytes Rx: 203333947 | IP Addr: 10.150.238.210 | Public IP: 103.110.253.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:07:51 IST Mon Jun 15 2020 | Duration: 9h:52m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 238599943 | Bytes Rx: 203333947 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22787 | Audit Session ID: 0a96cf6a059030005ee66e7f | Security Group Tag: none | EasyVPN: 0 |Session ID: 22787 | Audit Session ID: 0a96cf6a059030005ee66e7f | Security Group Tag: none | EasyVPN: 0 ||
Username: hasubram | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.193 | Public IP: 59.98.32.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:00 IST Mon Jun 15 2020 | Duration: 4h:02m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 84665207 | Bytes Rx: 42073211 | IP Addr: 10.150.238.193 | Public IP: 59.98.32.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:00 IST Mon Jun 15 2020 | Duration: 4h:02m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 84665207 | Bytes Rx: 42073211 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22829 | Audit Session ID: 0a96cf6a0592d0005ee6c090 | Security Group Tag: none | EasyVPN: 0 |Session ID: 22829 | Audit Session ID: 0a96cf6a0592d0005ee6c090 | Security Group Tag: none | EasyVPN: 0 ||
Username: aburnwal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.188 | Public IP: 157.33.189.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:37 IST Mon Jun 15 2020 | Duration: 3h:46m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 118941754 | Bytes Rx: 50410651 | IP Addr: 10.150.238.188 | Public IP: 157.33.189.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:37 IST Mon Jun 15 2020 | Duration: 3h:46m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 118941754 | Bytes Rx: 50410651 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22835 | Audit Session ID: 0a96cf6a059330005ee6c439 | Security Group Tag: none | EasyVPN: 0 |Session ID: 22835 | Audit Session ID: 0a96cf6a059330005ee6c439 | Security Group Tag: none | EasyVPN: 0 ||
