sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: vinaysh | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.55 | Public IP: 90.206.102.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:49 UTC Fri May 22 2020 | Duration: 14d 22h:48m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 17063381993 | Bytes Rx: 21720466017 | IP Addr: 10.145.232.55 | Public IP: 90.206.102.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:49 UTC Fri May 22 2020 | Duration: 14d 22h:48m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 17063381993 | Bytes Rx: 21720466017 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 75326 | Audit Session ID: 0a9107281263e0005ec77b35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 75326 | Audit Session ID: 0a9107281263e0005ec77b35 | Security Group Tag: none | EasyVPN: 0 ||
Username: jmoulder | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.144 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:48:41 UTC Wed May 27 2020 | Duration: 9d 18h:12m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 4144517951 | Bytes Rx: 1271923094 | IP Addr: 10.145.232.144 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:48:41 UTC Wed May 27 2020 | Duration: 9d 18h:12m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 4144517951 | Bytes Rx: 1271923094 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77035 | Audit Session ID: 0a91072812ceb0005ece5399 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77035 | Audit Session ID: 0a91072812ceb0005ece5399 | Security Group Tag: none | EasyVPN: 0 ||
Username: mhakonse | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 4d 9h:41m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 3808303379 | Bytes Rx: 576706826 | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 4d 9h:41m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 3808303379 | Bytes Rx: 576706826 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 |Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 ||
Username: ashish.jain | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.116 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:08 UTC Wed Jun 3 2020 | Duration: 2d 18h:05m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 589959856 | Bytes Rx: 328305191 | IP Addr: 10.145.233.116 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:08 UTC Wed Jun 3 2020 | Duration: 2d 18h:05m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 589959856 | Bytes Rx: 328305191 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79573 | Audit Session ID: 0a910728136d50005ed78f9c | Security Group Tag: none | EasyVPN: 0 |Session ID: 79573 | Audit Session ID: 0a910728136d50005ed78f9c | Security Group Tag: none | EasyVPN: 0 ||
Username: mheeley | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 2d 17h:46m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 3497345979 | Bytes Rx: 377796981 | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 2d 17h:46m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 3497345979 | Bytes Rx: 377796981 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 |Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 ||
Username: shreeshp | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 2d 16h:49m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 4484167027 | Bytes Rx: 1583270674 | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 2d 16h:49m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 4484167027 | Bytes Rx: 1583270674 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 |Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 ||
Username: bkashyap | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.93 | Public IP: 109.151.54.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:45:02 UTC Thu Jun 4 2020 | Duration: 1d 20h:15m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1557063786 | Bytes Rx: 711251659 | IP Addr: 10.145.233.93 | Public IP: 109.151.54.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:45:02 UTC Thu Jun 4 2020 | Duration: 1d 20h:15m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1557063786 | Bytes Rx: 711251659 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79926 | Audit Session ID: 0a910728138360005ed8c29e | Security Group Tag: none | EasyVPN: 0 |Session ID: 79926 | Audit Session ID: 0a910728138360005ed8c29e | Security Group Tag: none | EasyVPN: 0 ||
Username: AnjagTap | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr:  | Public IP: 106.193.211.8 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 10:49:06 UTC Thu Jun 4 2020 | Duration: 1d 19h:11m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | IP Addr:  | Public IP: 106.193.211.8 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 10:49:06 UTC Thu Jun 4 2020 | Duration: 1d 19h:11m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79956 | Audit Session ID: 0a910728138540005ed8d1a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 79956 | Audit Session ID: 0a910728138540005ed8d1a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: MThangap | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.4 | Public IP: 42.109.149.166 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:47:10 UTC Thu Jun 4 2020 | Duration: 1d 17h:13m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 25573159 | Bytes Rx: 7449299 | IP Addr: 10.145.233.4 | Public IP: 42.109.149.166 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:47:10 UTC Thu Jun 4 2020 | Duration: 1d 17h:13m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 25573159 | Bytes Rx: 7449299 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80010 | Audit Session ID: 0a9107281388a0005ed8ed4e | Security Group Tag: none | EasyVPN: 0 |Session ID: 80010 | Audit Session ID: 0a9107281388a0005ed8ed4e | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 1d 16h:53m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1771183879 | Bytes Rx: 479433355 | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 1d 16h:53m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1771183879 | Bytes Rx: 479433355 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 |Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 1d 13h:26m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1052245873 | Bytes Rx: 367463412 | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 1d 13h:26m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1052245873 | Bytes Rx: 367463412 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 ||
