sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.2 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Mon Jun 8 2020 | Duration: 2d 8h:38m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 6054641892 | Bytes Rx: 763553498 | IP Addr: 10.149.235.2 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Mon Jun 8 2020 | Duration: 2d 8h:38m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 6054641892 | Bytes Rx: 763553498 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154966 | Audit Session ID: 0a95072b25d560005edd92c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 154966 | Audit Session ID: 0a95072b25d560005edd92c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.246 | Public IP: 103.240.207.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:17 IST Mon Jun 8 2020 | Duration: 2d 3h:49m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 12379648043 | Bytes Rx: 877967356 | IP Addr: 10.149.234.246 | Public IP: 103.240.207.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:17 IST Mon Jun 8 2020 | Duration: 2d 3h:49m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 12379648043 | Bytes Rx: 877967356 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 155797 | Audit Session ID: 0a95072b260950005eddd685 | Security Group Tag: none | EasyVPN: 0 |Session ID: 155797 | Audit Session ID: 0a95072b260950005eddd685 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 1d 4h:40m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 797602193 | Bytes Rx: 292890336 | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 1d 4h:40m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 797602193 | Bytes Rx: 292890336 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 ||
Username: AMuttepa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.57 | Public IP: 106.209.224.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:55 IST Wed Jun 10 2020 | Duration: 8h:55m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 1577873284 | Bytes Rx: 241746740 | IP Addr: 10.149.235.57 | Public IP: 106.209.224.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:55 IST Wed Jun 10 2020 | Duration: 8h:55m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 1577873284 | Bytes Rx: 241746740 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160109 | Audit Session ID: 0a95072b2716d0005ee031b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160109 | Audit Session ID: 0a95072b2716d0005ee031b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: prashukl | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.73 | Public IP: 106.223.9.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:45 IST Wed Jun 10 2020 | Duration: 8h:43m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 136730740 | Bytes Rx: 51487960 | IP Addr: 10.149.235.73 | Public IP: 106.223.9.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:45 IST Wed Jun 10 2020 | Duration: 8h:43m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 136730740 | Bytes Rx: 51487960 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160111 | Audit Session ID: 0a95072b2716f0005ee034b9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160111 | Audit Session ID: 0a95072b2716f0005ee034b9 | Security Group Tag: none | EasyVPN: 0 ||
Username: ssdpawar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.80 | Public IP: 157.47.14.6 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:55:01 IST Wed Jun 10 2020 | Duration: 8h:35m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1787092693 | Bytes Rx: 460793842 | IP Addr: 10.149.235.80 | Public IP: 157.47.14.6 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:55:01 IST Wed Jun 10 2020 | Duration: 8h:35m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1787092693 | Bytes Rx: 460793842 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160120 | Audit Session ID: 0a95072b271780005ee0366d | Security Group Tag: none | EasyVPN: 0 |Session ID: 160120 | Audit Session ID: 0a95072b271780005ee0366d | Security Group Tag: none | EasyVPN: 0 ||
Username: atnair | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.86 | Public IP: 1.23.22.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:36 IST Wed Jun 10 2020 | Duration: 8h:33m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 265196892 | Bytes Rx: 83846523 | IP Addr: 10.149.235.86 | Public IP: 1.23.22.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:36 IST Wed Jun 10 2020 | Duration: 8h:33m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 265196892 | Bytes Rx: 83846523 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160127 | Audit Session ID: 0a95072b2717f0005ee03708 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160127 | Audit Session ID: 0a95072b2717f0005ee03708 | Security Group Tag: none | EasyVPN: 0 ||
Username: aksharum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.17 | Public IP: 171.78.175.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:11 IST Wed Jun 10 2020 | Duration: 8h:31m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 3476399258 | Bytes Rx: 577471670 | IP Addr: 10.149.235.17 | Public IP: 171.78.175.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:11 IST Wed Jun 10 2020 | Duration: 8h:31m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 3476399258 | Bytes Rx: 577471670 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160131 | Audit Session ID: 0a95072b271830005ee03767 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160131 | Audit Session ID: 0a95072b271830005ee03767 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivakrs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.20 | Public IP: 103.41.90.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:23 IST Wed Jun 10 2020 | Duration: 8h:30m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 3746737477 | Bytes Rx: 270315329 | IP Addr: 10.149.235.20 | Public IP: 103.41.90.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:23 IST Wed Jun 10 2020 | Duration: 8h:30m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 3746737477 | Bytes Rx: 270315329 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160134 | Audit Session ID: 0a95072b271860005ee037af | Security Group Tag: none | EasyVPN: 0 |Session ID: 160134 | Audit Session ID: 0a95072b271860005ee037af | Security Group Tag: none | EasyVPN: 0 ||
Username: varunuda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.219 | Public IP: 157.51.136.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:56 IST Wed Jun 10 2020 | Duration: 8h:24m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 268975025 | Bytes Rx: 83498469 | IP Addr: 10.149.234.219 | Public IP: 157.51.136.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:56 IST Wed Jun 10 2020 | Duration: 8h:24m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 268975025 | Bytes Rx: 83498469 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160139 | Audit Session ID: 0a95072b2718b0005ee038fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 160139 | Audit Session ID: 0a95072b2718b0005ee038fc | Security Group Tag: none | EasyVPN: 0 ||
Username: RVoleti | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.220 | Public IP: 106.0.38.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Wed Jun 10 2020 | Duration: 8h:24m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 276613817 | Bytes Rx: 71367870 | IP Addr: 10.149.234.220 | Public IP: 106.0.38.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Wed Jun 10 2020 | Duration: 8h:24m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 276613817 | Bytes Rx: 71367870 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160140 | Audit Session ID: 0a95072b2718c0005ee03921 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160140 | Audit Session ID: 0a95072b2718c0005ee03921 | Security Group Tag: none | EasyVPN: 0 ||
