sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rupameht | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 1h:20m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1723797509 | Bytes Rx: 576835024 | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 1h:20m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1723797509 | Bytes Rx: 576835024 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.231.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 21h:27m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 793152481 | Bytes Rx: 297046590 | IP Addr: 10.147.96.175 | Public IP: 182.57.231.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 21h:27m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 793152481 | Bytes Rx: 297046590 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 19h:20m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 441424152 | Bytes Rx: 103421251 | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 19h:20m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 441424152 | Bytes Rx: 103421251 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.3 | Public IP: 103.110.254.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:07:41 IST Mon Jun 15 2020 | Duration: 15h:52m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 144208383 | Bytes Rx: 36806209 | IP Addr: 10.150.237.3 | Public IP: 103.110.254.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:07:41 IST Mon Jun 15 2020 | Duration: 15h:52m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 144208383 | Bytes Rx: 36806209 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25877 | Audit Session ID: 0a96cf69065150005ee787b5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25877 | Audit Session ID: 0a96cf69065150005ee787b5 | Security Group Tag: none | EasyVPN: 0 ||
Username: martiner | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.195 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:20 IST Mon Jun 15 2020 | Duration: 14h:54m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 203442475 | Bytes Rx: 78351762 | IP Addr: 10.150.236.195 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:20 IST Mon Jun 15 2020 | Duration: 14h:54m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 203442475 | Bytes Rx: 78351762 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25983 | Audit Session ID: 0a96cf690657f0005ee79574 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25983 | Audit Session ID: 0a96cf690657f0005ee79574 | Security Group Tag: none | EasyVPN: 0 ||
Username: aasaxena | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.134 | Public IP: 49.35.87.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:50 IST Mon Jun 15 2020 | Duration: 14h:49m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 295942454 | Bytes Rx: 94038370 | IP Addr: 10.150.236.134 | Public IP: 49.35.87.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:50 IST Mon Jun 15 2020 | Duration: 14h:49m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 295942454 | Bytes Rx: 94038370 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26000 | Audit Session ID: 0a96cf69065900005ee79682 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26000 | Audit Session ID: 0a96cf69065900005ee79682 | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.74 | Public IP: 171.76.38.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:55:16 IST Tue Jun 16 2020 | Duration: 7h:05m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 238686341 | Bytes Rx: 32809175 | IP Addr: 10.150.236.74 | Public IP: 171.76.38.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:55:16 IST Tue Jun 16 2020 | Duration: 7h:05m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 238686341 | Bytes Rx: 32809175 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26471 | Audit Session ID: 0a96cf69067670005ee8035c | Security Group Tag: none | EasyVPN: 0 |Session ID: 26471 | Audit Session ID: 0a96cf69067670005ee8035c | Security Group Tag: none | EasyVPN: 0 ||
Username: nikitasi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.129 | Public IP: 49.36.130.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:12:24 IST Tue Jun 16 2020 | Duration: 6h:48m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 84256168 | Bytes Rx: 37535939 | IP Addr: 10.150.236.129 | Public IP: 49.36.130.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:12:24 IST Tue Jun 16 2020 | Duration: 6h:48m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 84256168 | Bytes Rx: 37535939 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26482 | Audit Session ID: 0a96cf69067720005ee80760 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26482 | Audit Session ID: 0a96cf69067720005ee80760 | Security Group Tag: none | EasyVPN: 0 ||
Username: Nrkollam | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.83 | Public IP: 27.59.174.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 5h:33m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 896499852 | Bytes Rx: 91096438 | IP Addr: 10.150.237.83 | Public IP: 27.59.174.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 5h:33m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 896499852 | Bytes Rx: 91096438 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: aguramac | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 5h:30m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1402921692 | Bytes Rx: 454892069 | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 5h:30m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1402921692 | Bytes Rx: 454892069 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 ||
Username: aburnwal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.132 | Public IP: 157.33.254.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:55 IST Tue Jun 16 2020 | Duration: 5h:20m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 187667342 | Bytes Rx: 82930348 | IP Addr: 10.150.236.132 | Public IP: 157.33.254.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:55 IST Tue Jun 16 2020 | Duration: 5h:20m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 187667342 | Bytes Rx: 82930348 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26535 | Audit Session ID: 0a96cf69067a70005ee81be3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26535 | Audit Session ID: 0a96cf69067a70005ee81be3 | Security Group Tag: none | EasyVPN: 0 ||
