sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rupameht | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 7h:20m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 2241754264 | Bytes Rx: 703810387 | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 7h:20m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 2241754264 | Bytes Rx: 703810387 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.224.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 1d 3h:27m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1037674170 | Bytes Rx: 448279389 | IP Addr: 10.147.96.175 | Public IP: 182.57.224.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 1d 3h:27m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1037674170 | Bytes Rx: 448279389 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 1d 1h:20m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1018224501 | Bytes Rx: 168813250 | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 1d 1h:20m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1018224501 | Bytes Rx: 168813250 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: Nrkollam | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.83 | Public IP: 27.59.163.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 11h:33m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1212849890 | Bytes Rx: 148137807 | IP Addr: 10.150.237.83 | Public IP: 27.59.163.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 11h:33m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1212849890 | Bytes Rx: 148137807 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: aguramac | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 11h:30m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1533073514 | Bytes Rx: 898873236 | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 11h:30m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1533073514 | Bytes Rx: 898873236 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 ||
Username: SachJag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.103 | Public IP: 157.33.220.229 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:43:34 IST Tue Jun 16 2020 | Duration: 11h:16m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 2026009892 | Bytes Rx: 512710546 | IP Addr: 10.150.236.103 | Public IP: 157.33.220.229 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:43:34 IST Tue Jun 16 2020 | Duration: 11h:16m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 2026009892 | Bytes Rx: 512710546 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26543 | Audit Session ID: 0a96cf69067af0005ee81cbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 26543 | Audit Session ID: 0a96cf69067af0005ee81cbe | Security Group Tag: none | EasyVPN: 0 ||
Username: anamika.ranade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.109 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:24 IST Tue Jun 16 2020 | Duration: 11h:13m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 374315884 | Bytes Rx: 147248194 | IP Addr: 10.150.236.109 | Public IP: 116.75.180.37 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:24 IST Tue Jun 16 2020 | Duration: 11h:13m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 374315884 | Bytes Rx: 147248194 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26549 | Audit Session ID: 0a96cf69067b50005ee81da4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26549 | Audit Session ID: 0a96cf69067b50005ee81da4 | Security Group Tag: none | EasyVPN: 0 ||
Username: HVasoya | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.116 | Public IP: 110.227.198.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:04 IST Tue Jun 16 2020 | Duration: 11h:02m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 649588422 | Bytes Rx: 277029204 | IP Addr: 10.150.236.116 | Public IP: 110.227.198.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:04 IST Tue Jun 16 2020 | Duration: 11h:02m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 649588422 | Bytes Rx: 277029204 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26566 | Audit Session ID: 0a96cf69067c60005ee82024 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26566 | Audit Session ID: 0a96cf69067c60005ee82024 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vinitku | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.195 | Public IP: 106.66.36.207 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:59:49 IST Tue Jun 16 2020 | Duration: 11h:00m:39s | Inactivity:  0h:09m:58s | Bytes Tx: 2283467403 | Bytes Rx: 221742291 | IP Addr: 10.150.237.195 | Public IP: 106.66.36.207 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:59:49 IST Tue Jun 16 2020 | Duration: 11h:00m:39s | Inactivity:  0h:09m:58s | Bytes Tx: 2283467403 | Bytes Rx: 221742291 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26577 | Audit Session ID: 0a96cf69067d10005ee8208d | Security Group Tag: none | EasyVPN: 0 |Session ID: 26577 | Audit Session ID: 0a96cf69067d10005ee8208d | Security Group Tag: none | EasyVPN: 0 ||
Username: SharadC | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.241 | Public IP: 157.47.59.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:32 IST Tue Jun 16 2020 | Duration: 10h:46m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 302822841 | Bytes Rx: 151666460 | IP Addr: 10.150.237.241 | Public IP: 157.47.59.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:32 IST Tue Jun 16 2020 | Duration: 10h:46m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 302822841 | Bytes Rx: 151666460 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26615 | Audit Session ID: 0a96cf69067f70005ee823c4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26615 | Audit Session ID: 0a96cf69067f70005ee823c4 | Security Group Tag: none | EasyVPN: 0 ||
Username: vishwbha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC12 | IP Addr: 10.150.245.243 | Public IP: 111.125.255.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:15:43 IST Tue Jun 16 2020 | Duration: 10h:44m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 491544344 | Bytes Rx: 139981385 | IP Addr: 10.150.245.243 | Public IP: 111.125.255.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:15:43 IST Tue Jun 16 2020 | Duration: 10h:44m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 491544344 | Bytes Rx: 139981385 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26624 | Audit Session ID: 0a96cf69068000005ee82447 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26624 | Audit Session ID: 0a96cf69068000005ee82447 | Security Group Tag: none | EasyVPN: 0 ||
