sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mdzialow | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.104 | Public IP: 90.248.242.80 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:28:14 UTC Thu Jun 25 2020 | Duration: 1d 1h:32m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 2055784440 | Bytes Rx: 565451159 | IP Addr: 10.145.232.104 | Public IP: 90.248.242.80 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:28:14 UTC Thu Jun 25 2020 | Duration: 1d 1h:32m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 2055784440 | Bytes Rx: 565451159 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 161 | Audit Session ID: 0a910728000a10005ef4601e | Security Group Tag: none | EasyVPN: 0 |Session ID: 161 | Audit Session ID: 0a910728000a10005ef4601e | Security Group Tag: none | EasyVPN: 0 ||
Username: chikumar | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.137 | Public IP: 47.30.198.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:06:18 UTC Thu Jun 25 2020 | Duration: 21h:54m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 954325535 | Bytes Rx: 252754998 | IP Addr: 10.145.232.137 | Public IP: 47.30.198.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:06:18 UTC Thu Jun 25 2020 | Duration: 21h:54m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 954325535 | Bytes Rx: 252754998 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 267 | Audit Session ID: 0a9107280010b0005ef4933a | Security Group Tag: none | EasyVPN: 0 |Session ID: 267 | Audit Session ID: 0a9107280010b0005ef4933a | Security Group Tag: none | EasyVPN: 0 ||
Username: Pkadlag | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.151 | Public IP: 157.47.14.93 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:27:27 UTC Thu Jun 25 2020 | Duration: 21h:33m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 360889178 | Bytes Rx: 150791949 | IP Addr: 10.145.232.151 | Public IP: 157.47.14.93 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 12:27:27 UTC Thu Jun 25 2020 | Duration: 21h:33m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 360889178 | Bytes Rx: 150791949 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 276 | Audit Session ID: 0a910728001140005ef4982f | Security Group Tag: none | EasyVPN: 0 |Session ID: 276 | Audit Session ID: 0a910728001140005ef4982f | Security Group Tag: none | EasyVPN: 0 ||
Username: mwainwri | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.196 | Public IP: 2.123.214.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:51:19 UTC Thu Jun 25 2020 | Duration: 21h:09m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 741939796 | Bytes Rx: 144990441 | IP Addr: 10.145.232.196 | Public IP: 2.123.214.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:51:19 UTC Thu Jun 25 2020 | Duration: 21h:09m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 741939796 | Bytes Rx: 144990441 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 293 | Audit Session ID: 0a910728001250005ef49dc7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 293 | Audit Session ID: 0a910728001250005ef49dc7 | Security Group Tag: none | EasyVPN: 0 ||
Username: panksain | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.76 | Public IP: 1.39.232.38 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:59:51 UTC Thu Jun 25 2020 | Duration: 19h:01m:07s | Inactivity:  17h:50m:44s | Bytes Tx: 250411378 | Bytes Rx: 18114384 | IP Addr: 10.145.232.76 | Public IP: 1.39.232.38 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:59:51 UTC Thu Jun 25 2020 | Duration: 19h:01m:07s | Inactivity:  17h:50m:44s | Bytes Tx: 250411378 | Bytes Rx: 18114384 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 324 | Audit Session ID: 0a910728001440005ef4bbe7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 324 | Audit Session ID: 0a910728001440005ef4bbe7 | Security Group Tag: none | EasyVPN: 0 ||
Username: Pkadlag | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.188 | Public IP: 49.35.107.149 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 15:58:56 UTC Thu Jun 25 2020 | Duration: 18h:02m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 578914972 | Bytes Rx: 183810950 | IP Addr: 10.145.232.188 | Public IP: 49.35.107.149 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 15:58:56 UTC Thu Jun 25 2020 | Duration: 18h:02m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 578914972 | Bytes Rx: 183810950 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 338 | Audit Session ID: 0a910728001520005ef4c9c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 338 | Audit Session ID: 0a910728001520005ef4c9c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: vinaysh | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.164 | Public IP: 90.214.217.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:59:13 UTC Thu Jun 25 2020 | Duration: 15h:01m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 490235910 | Bytes Rx: 131019001 | IP Addr: 10.145.232.164 | Public IP: 90.214.217.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:59:13 UTC Thu Jun 25 2020 | Duration: 15h:01m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 490235910 | Bytes Rx: 131019001 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 368 | Audit Session ID: 0a910728001700005ef4f401 | Security Group Tag: none | EasyVPN: 0 |Session ID: 368 | Audit Session ID: 0a910728001700005ef4f401 | Security Group Tag: none | EasyVPN: 0 ||
Username: indranil.sapre | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.200 | Public IP: 31.14.250.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:35:52 UTC Thu Jun 25 2020 | Duration: 13h:25m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2114071375 | Bytes Rx: 282086816 | IP Addr: 10.145.232.200 | Public IP: 31.14.250.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:35:52 UTC Thu Jun 25 2020 | Duration: 13h:25m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2114071375 | Bytes Rx: 282086816 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 376 | Audit Session ID: 0a910728001780005ef50aa8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 376 | Audit Session ID: 0a910728001780005ef50aa8 | Security Group Tag: none | EasyVPN: 0 ||
Username: b.sridhar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.80 | Public IP: 124.123.166.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:36:45 UTC Fri Jun 26 2020 | Duration: 8h:24m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 368735341 | Bytes Rx: 845725243 | IP Addr: 10.145.232.80 | Public IP: 124.123.166.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:36:45 UTC Fri Jun 26 2020 | Duration: 8h:24m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 368735341 | Bytes Rx: 845725243 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 382 | Audit Session ID: 0a9107280017e0005ef5512d | Security Group Tag: none | EasyVPN: 0 |Session ID: 382 | Audit Session ID: 0a9107280017e0005ef5512d | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjekum | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.177 | Public IP: 106.208.217.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:50:45 UTC Fri Jun 26 2020 | Duration: 7h:10m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1520822203 | Bytes Rx: 164443826 | IP Addr: 10.145.232.177 | Public IP: 106.208.217.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:50:45 UTC Fri Jun 26 2020 | Duration: 7h:10m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1520822203 | Bytes Rx: 164443826 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 388 | Audit Session ID: 0a910728001840005ef56285 | Security Group Tag: none | EasyVPN: 0 |Session ID: 388 | Audit Session ID: 0a910728001840005ef56285 | Security Group Tag: none | EasyVPN: 0 ||
Username: roopsing | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.180 | Public IP: 1.38.189.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:02:15 UTC Fri Jun 26 2020 | Duration: 5h:58m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 1202739356 | Bytes Rx: 228606378 | IP Addr: 10.145.232.180 | Public IP: 1.38.189.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:02:15 UTC Fri Jun 26 2020 | Duration: 5h:58m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 1202739356 | Bytes Rx: 228606378 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 395 | Audit Session ID: 0a9107280018b0005ef57347 | Security Group Tag: none | EasyVPN: 0 |Session ID: 395 | Audit Session ID: 0a9107280018b0005ef57347 | Security Group Tag: none | EasyVPN: 0 ||
