sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sunaredi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.152 | Public IP: 182.70.34.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:28 IST Wed Jun 17 2020 | Duration: 1d 21h:48m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 4696131399 | Bytes Rx: 1439914155 | IP Addr: 10.150.236.152 | Public IP: 182.70.34.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:28 IST Wed Jun 17 2020 | Duration: 1d 21h:48m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 4696131399 | Bytes Rx: 1439914155 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33317 | Audit Session ID: 0a96cf69082250005eea2580 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33317 | Audit Session ID: 0a96cf69082250005eea2580 | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 1d 3h:11m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 509760482 | Bytes Rx: 223599202 | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 1d 3h:11m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 509760482 | Bytes Rx: 223599202 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 |Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 1d 0h:09m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 1796862213 | Bytes Rx: 853887174 | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 1d 0h:09m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 1796862213 | Bytes Rx: 853887174 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 21h:27m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 249048530 | Bytes Rx: 479992812 | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 21h:27m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 249048530 | Bytes Rx: 479992812 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:49:30 IST Thu Jun 18 2020 | Duration: 20h:44m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 460802941 | Bytes Rx: 135200301 | IP Addr: 10.150.237.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:49:30 IST Thu Jun 18 2020 | Duration: 20h:44m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 460802941 | Bytes Rx: 135200301 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37177 | Audit Session ID: 0a96cf69091390005eeb8602 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37177 | Audit Session ID: 0a96cf69091390005eeb8602 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.80 | Public IP: 103.85.11.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:09:42 IST Thu Jun 18 2020 | Duration: 20h:24m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 548284777 | Bytes Rx: 120572716 | IP Addr: 10.150.236.80 | Public IP: 103.85.11.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:09:42 IST Thu Jun 18 2020 | Duration: 20h:24m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 548284777 | Bytes Rx: 120572716 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37247 | Audit Session ID: 0a96cf690917f0005eeb8abe | Security Group Tag: none | EasyVPN: 0 |Session ID: 37247 | Audit Session ID: 0a96cf690917f0005eeb8abe | Security Group Tag: none | EasyVPN: 0 ||
Username: sauswain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.83 | Public IP: 157.35.72.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:14:00 IST Fri Jun 19 2020 | Duration: 11h:20m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 166862932 | Bytes Rx: 52154164 | IP Addr: 10.150.236.83 | Public IP: 157.35.72.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:14:00 IST Fri Jun 19 2020 | Duration: 11h:20m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 166862932 | Bytes Rx: 52154164 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37733 | Audit Session ID: 0a96cf69093650005eec0a50 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37733 | Audit Session ID: 0a96cf69093650005eec0a50 | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.215 | Public IP: 106.201.177.251 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:17:57 IST Fri Jun 19 2020 | Duration: 11h:16m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 301864425 | Bytes Rx: 118630894 | IP Addr: 10.150.237.215 | Public IP: 106.201.177.251 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:17:57 IST Fri Jun 19 2020 | Duration: 11h:16m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 301864425 | Bytes Rx: 118630894 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37737 | Audit Session ID: 0a96cf69093690005eec0b3d | Security Group Tag: none | EasyVPN: 0 |Session ID: 37737 | Audit Session ID: 0a96cf69093690005eec0b3d | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.17 | Public IP: 45.113.249.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:37 IST Fri Jun 19 2020 | Duration: 10h:56m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 1689687683 | Bytes Rx: 362058678 | IP Addr: 10.150.236.17 | Public IP: 45.113.249.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:37 IST Fri Jun 19 2020 | Duration: 10h:56m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 1689687683 | Bytes Rx: 362058678 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37758 | Audit Session ID: 0a96cf690937e0005eec0fd9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37758 | Audit Session ID: 0a96cf690937e0005eec0fd9 | Security Group Tag: none | EasyVPN: 0 ||
Username: tmukadam | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.89 | Public IP: 45.113.249.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:13 IST Fri Jun 19 2020 | Duration: 10h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 516130463 | Bytes Rx: 329572033 | IP Addr: 10.150.236.89 | Public IP: 45.113.249.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:13 IST Fri Jun 19 2020 | Duration: 10h:34m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 516130463 | Bytes Rx: 329572033 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37787 | Audit Session ID: 0a96cf690939b0005eec14e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37787 | Audit Session ID: 0a96cf690939b0005eec14e9 | Security Group Tag: none | EasyVPN: 0 ||
Username: MuruKupp | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.16 | Public IP: 117.222.171.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:22 IST Fri Jun 19 2020 | Duration: 10h:21m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 263158742 | Bytes Rx: 404096107 | IP Addr: 10.150.236.16 | Public IP: 117.222.171.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:22 IST Fri Jun 19 2020 | Duration: 10h:21m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 263158742 | Bytes Rx: 404096107 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37822 | Audit Session ID: 0a96cf69093be0005eec17fe | Security Group Tag: none | EasyVPN: 0 |Session ID: 37822 | Audit Session ID: 0a96cf69093be0005eec17fe | Security Group Tag: none | EasyVPN: 0 ||
