sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 2d 0h:09m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 3858727994 | Bytes Rx: 754771796 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 2d 0h:09m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 3858727994 | Bytes Rx: 754771796 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.151 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:39 IST Wed Jun 24 2020 | Duration: 1d 1h:04m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 230118548 | Bytes Rx: 133691322 | IP Addr: 10.149.232.151 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:39 IST Wed Jun 24 2020 | Duration: 1d 1h:04m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 230118548 | Bytes Rx: 133691322 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170677 | Audit Session ID: 0a95072a29ab50005ef2f1e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 170677 | Audit Session ID: 0a95072a29ab50005ef2f1e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.56 | Public IP: 115.98.151.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:34:29 IST Wed Jun 24 2020 | Duration: 22h:25m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 688848022 | Bytes Rx: 479565663 | IP Addr: 10.149.233.56 | Public IP: 115.98.151.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:34:29 IST Wed Jun 24 2020 | Duration: 22h:25m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 688848022 | Bytes Rx: 479565663 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171352 | Audit Session ID: 0a95072a29d580005ef3171d | Security Group Tag: none | EasyVPN: 0 |Session ID: 171352 | Audit Session ID: 0a95072a29d580005ef3171d | Security Group Tag: none | EasyVPN: 0 ||
Username: sasikuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.223 | Public IP: 157.50.182.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:38 IST Thu Jun 25 2020 | Duration: 7h:00m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 77894139 | Bytes Rx: 70238257 | IP Addr: 10.149.232.223 | Public IP: 157.50.182.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:38 IST Thu Jun 25 2020 | Duration: 7h:00m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 77894139 | Bytes Rx: 70238257 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172169 | Audit Session ID: 0a95072a2a0890005ef3eff2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172169 | Audit Session ID: 0a95072a2a0890005ef3eff2 | Security Group Tag: none | EasyVPN: 0 ||
Username: vvelu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 6h:51m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 354122451 | Bytes Rx: 133775116 | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 6h:51m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 354122451 | Bytes Rx: 133775116 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.229 | Public IP: 157.48.217.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:09 IST Thu Jun 25 2020 | Duration: 6h:39m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 233360575 | Bytes Rx: 36231765 | IP Addr: 10.149.232.229 | Public IP: 157.48.217.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:09 IST Thu Jun 25 2020 | Duration: 6h:39m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 233360575 | Bytes Rx: 36231765 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172178 | Audit Session ID: 0a95072a2a0920005ef3f4fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 172178 | Audit Session ID: 0a95072a2a0920005ef3f4fd | Security Group Tag: none | EasyVPN: 0 ||
Username: MJagenat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.231 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:14 IST Thu Jun 25 2020 | Duration: 6h:38m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 60826591 | Bytes Rx: 20270127 | IP Addr: 10.149.232.231 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:14 IST Thu Jun 25 2020 | Duration: 6h:38m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 60826591 | Bytes Rx: 20270127 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172180 | Audit Session ID: 0a95072a2a0940005ef3f53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 172180 | Audit Session ID: 0a95072a2a0940005ef3f53e | Security Group Tag: none | EasyVPN: 0 ||
Username: JiBachha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.233 | Public IP: 157.33.247.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:14 IST Thu Jun 25 2020 | Duration: 6h:31m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 134152247 | Bytes Rx: 41215315 | IP Addr: 10.149.232.233 | Public IP: 157.33.247.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:14 IST Thu Jun 25 2020 | Duration: 6h:31m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 134152247 | Bytes Rx: 41215315 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172182 | Audit Session ID: 0a95072a2a0960005ef3f6e2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172182 | Audit Session ID: 0a95072a2a0960005ef3f6e2 | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 106.51.26.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:57 IST Thu Jun 25 2020 | Duration: 6h:25m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1855602410 | Bytes Rx: 1908698293 | IP Addr: 10.149.232.234 | Public IP: 106.51.26.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:57 IST Thu Jun 25 2020 | Duration: 6h:25m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1855602410 | Bytes Rx: 1908698293 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172183 | Audit Session ID: 0a95072a2a0970005ef3f839 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172183 | Audit Session ID: 0a95072a2a0970005ef3f839 | Security Group Tag: none | EasyVPN: 0 ||
Username: gesamina | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC1 | IP Addr: 10.149.248.97 | Public IP: 106.198.41.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:04 IST Thu Jun 25 2020 | Duration: 5h:43m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1954009042 | Bytes Rx: 360500846 | IP Addr: 10.149.248.97 | Public IP: 106.198.41.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:04 IST Thu Jun 25 2020 | Duration: 5h:43m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1954009042 | Bytes Rx: 360500846 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172195 | Audit Session ID: 0a95072a2a0a30005ef40218 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172195 | Audit Session ID: 0a95072a2a0a30005ef40218 | Security Group Tag: none | EasyVPN: 0 ||
Username: Barajend | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.99 | Public IP: 61.0.125.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:21:05 IST Thu Jun 25 2020 | Duration: 5h:39m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 465076963 | Bytes Rx: 101572449 | IP Addr: 10.149.232.99 | Public IP: 61.0.125.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:21:05 IST Thu Jun 25 2020 | Duration: 5h:39m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 465076963 | Bytes Rx: 101572449 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172196 | Audit Session ID: 0a95072a2a0a40005ef40309 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172196 | Audit Session ID: 0a95072a2a0a40005ef40309 | Security Group Tag: none | EasyVPN: 0 ||
