﻿﻿001ASHB623030629241,192.168.201.187,1/2/39:250,Details not found from service_id command
001ASHB623030711244,192.168.194.135,3/2/11.551,Details not found from both service_id and inventory_port_no command
001BASK623029268388,192.168.248.78,1/1/3:525,Details not found from service_id command
001BIGF623029380759,192.168.248.78,1/1/3:525,Details not found from service_id command
001BOST623032862917,192.168.248.78,1/1/3:565,Details not found from service_id command
001BRAN623017180288,192.168.248.78,1/1/3:3644,Details not found from service_id command
001BRID623030870944,192.168.251.17,10/1/9:110,Details not found from both service_id and inventory_port_no command
001BRUN623014597872,192.168.248.78,1/1/3:3644,Details not found from service_id command
001ALLE623016035401,192.168.248.78,1/1/3:515,Details not found from service_id command
001ANAH623032350568,192.168.248.78,1/1/3:517,Details not found from service_id command
001BUFO623018480306,192.168.248.78,1/1/3:126,Details not found from both service_id and inventory_port_no command
001CALI623012897133,192.168.248.78,1/1/3:3644,Details not found from service_id command
001CHAM623033112811,192.168.248.78,1/1/3:3644,Details not found from service_id command
001CHAT623033512958,192.168.248.78,1/1/3:3652,Details not found from service_id command
﻿001CHES623034320856,192.168.248.78,1/1/3:3654,Details not found from service_id command
001CHIC623030629257,192.168.200.17,5/1/6:250,unable to handle error
001CHIC623030711260,192.168.200.17,5/1/6:550,Details not found from both service_id and inventory_port_no command
001CHIC623030851195,192.168.200.17,5/1/6:551,unable to handle error
001CHIC623031123604,192.168.248.78,1/1/3:430,unable to handle error
001CHIC623031244308,192.168.200.17,5/1/6:251,unable to handle error
001CHIC623032100445,192.168.248.78,1/1/3:321,unable to handle error
001CHIC623032184387,192.168.248.78,1/1/3:322,Details not found from both service_id and inventory_port_no command
001CHIL623030216086,192.168.248.78,1/1/3:525,Details not found from service_id command
001CHIL623030220311,192.168.248.78,1/1/3:525,Details not found from service_id command
001CLAR623018724825,192.168.248.78,1/1/3:517,Details not found from service_id command
001COMM623031337771,192.168.248.78,1/1/3:3644,Details not found from service_id command
001CORV623017358157,192.168.248.78,1/1/3:116,Details not found from both service_id and inventory_port_no command
001DORA623033556837,192.168.248.78,1/1/3:565,Details not found from service_id command
001DUNC623033522601,192.168.248.78,1/1/3:129,Details not found from both service_id and inventory_port_no command
001DUNC623033544307,192.168.248.78,1/1/3:129,Details not found from both service_id and inventory_port_no command
001ELKG623018141810,192.168.248.78,1/1/3:3644,Details not found from service_id command
001ELYR623012626153,192.168.248.78,1/1/3:3644,Details not found from service_id command
001FORT623029381017,192.168.248.78,1/1/3:525,Details not found from service_id command
001FORT623030305446,192.168.248.78,1/1/3:553,Details not found from both service_id and inventory_port_no command
001FORT623034679977,192.168.248.78,1/1/3:544,unable to handle error
001FREM623017300800,192.168.248.78,1/1/3:3638,Details not found from service_id command
001GERM623012897083,192.168.248.78,1/1/3:3644,Details not found from service_id command
001GOOS623012626088,192.168.248.78,1/1/3:3644,Details not found from service_id command
001GOOS623032609260,192.168.248.78,1/1/3:3644,Details not found from service_id command
001GRAN623029382224,192.168.248.78,1/1/3:525,Details not found from service_id command
001GRIF623029398716,192.168.248.78,1/1/3:525,Details not found from service_id command
001GRIF623029398737,192.168.248.78,1/1/3:525,timedout
﻿001GUYM623033067491,192.168.248.78,1/1/3:3644,Details not found from service_id command
001HASB623033310341,192.168.248.78,1/1/3:3644,Details not found from service_id command
001HELE623017358627,192.168.248.78,1/1/3:115,Details not found from both service_id and inventory_port_no command
001HODG623029323459,192.168.248.78,1/1/3:540,Details not found from both service_id and inventory_port_no command
001HOLL623029268035,192.168.248.78,1/1/3:525,Details not found from service_id command
001HONE623034298211,192.168.248.78,1/1/3:3644,Details not found from service_id command
001HOUG623029381038,192.168.248.78,1/1/3:525,Details not found from service_id command
001HOUS623012894742,192.168.248.78,1/1/3:3611,Details not found from service_id command
001HOUS623013735230,192.168.248.78,1/1/3:3611,Details not found from service_id command
001HOUS623013783605,192.168.248.78,1/1/3:679,Details not found from both service_id and inventory_port_no command
001HOUS623030851047,192.168.251.17,10/1/9:123,Details not found from service_id command
001HOUS623032184437,192.168.248.78,1/1/3:322,Details not found from both service_id and inventory_port_no command
001HOUS623033133792,192.168.248.78,1/1/3:3611,Details not found from service_id command
001IRVI623016035417,192.168.248.78,1/1/3:515,Details not found from service_id command
001JACK623014597806,192.168.248.78,1/1/3:3644,Details not found from service_id command
001LASV623017348245,192.168.248.78,1/1/3:517,Details not found from service_id command
001LEWI623029188835,192.168.248.78,1/1/3:525,Details not found from service_id command
001LISL623029188789,192.168.248.78,1/1/3:525,Details not found from service_id command
001LIVE623033754002,192.168.248.78,1/1/3:3652,Details not found from service_id command
001LONG623033002498,192.168.248.78,1/1/3:519,Details not found from service_id command
001META623017358652,192.168.248.78,1/1/3:517,Details not found from service_id command
001MIAM623030851072,192.168.248.78,1/1/3:570,Details not found from both service_id and inventory_port_no command
001MIAM623031319573,192.168.248.78,1/1/3:320,Details not found from both service_id and inventory_port_no command
001MIAM623032944106,192.168.248.78,1/1/3:565,Details not found from service_id command
001MIAM623033443534,192.168.248.78,1/1/3:585,Details not found from both service_id and inventory_port_no command
001MIDD623017348954,192.168.248.78,1/1/3:121,Details not found from both service_id and inventory_port_no command
001MIDL623034941589,192.168.248.78,1/1/3:3644,Details not found from service_id command
001MISS623029380852,192.168.248.78,1/1/3:525,Details not found from service_id command
001MOND623029323504,192.168.248.78,1/1/3:540,Details not found from both service_id and inventory_port_no command
001MONT623032011468,192.168.248.78,1/1/3:565,Details not found from service_id command
001MOUN623033754018,192.168.248.78,1/1/3:1247,Details not found from both service_id and inventory_port_no command
001NEWJ623012626218,192.168.248.78,1/1/3:3644,Details not found from service_id command
001NEWJ623012897033,192.168.248.78,1/1/3:3644,Details not found from service_id command
001NEWY623012626336,192.168.248.78,1/1/3:3644,Details not found from service_id command
001NEWY623016713643,192.168.248.78,1/1/3:521,unable to handle error
001NEWY623016713703,192.168.248.78,1/1/3:520,unable to handle error
001NEWY623018113518,192.168.248.79,Serial2/1/0.202,Details not found from both service_id and inventory_port_no command
001NEWY623018661166,192.168.248.78,1/1/3:403,Details not found from service_id command
